"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"00000342","齊意行銷科技有限公司","施O航","高雄市三民區朝陽街59號1樓","5000000"," "," ","核准設立","20260901033609"
"00000547","高雄鳳山青年春日佐光有限公司","葉O哲","高雄市鳳山區青年路2段455號","7000000"," "," ","核准設立","20260901033609"
"00000624","烹派餐飲有限公司","","臺北市南港區忠孝東路6段420號1樓","1500000"," "," ","解散","20260901033609"
"00000949","五正永續土地開發顧問有限公司","朱O誠","新北市三峽區安坑37之8號(1樓)","1000000"," "," ","核准設立","20260901033609"
"00001341","川富餐飲有限公司","王O青","臺北市大安區大安路1段52巷25號","2000000"," "," ","核准設立","20260901033609"
"00001546","魔毒智能國際股份有限公司","林O瑋","臺北市中山區新生北路2段60巷5號","28000000","2500000"," ","核准設立","20260901033609"
"00001686","郁奇股份有限公司","郭O婷","臺南市中西區南美里忠義路2段77號1樓","1200000","1200000"," ","核准設立","20260901033609"
"00002382","京昌園控股股份有限公司","KOM WONTAE","臺中市南屯區惠中里文心路一段378號7樓之10","5000000","5000000"," ","核准設立","20260901033609"
"00002398","沐清企業有限公司","洪O澤","澎湖縣馬公市光榮里文光路158之1號","200000"," "," ","核准設立","20260901033609"
"00002411","登峰夢想國際有限公司","","臺中市大里區新里里爽文路645號","100000"," "," ","解散","20260901033609"
"00002616","破店大排檔有限公司","TONG KIE TJHAI","臺中市西區向上路一段247號","500000"," "," ","核准設立","20260901033609"
"00002947","豈綺有限公司","劉O鈞","高雄市鳳山區中山東路58巷42號8樓之1","500000"," "," ","核准設立","20260901033609"
"00003235","豐寅號有限公司","張O婷","彰化縣鹿港鎮中山路427號","500000"," "," ","核准設立","20260901033609"
"00003426","再地再地股份有限公司","劉O堯","臺北市中山區長安西路19巷2弄29號1樓","6000000","6000000"," ","核准設立","20260901033609"
"00005070","香港商麗寶菲斯國際貿易有限公司","劉O全","臺北市中山區南京東路二段101號12樓","6000000"," "," ","核准登記","20260901033609"
